movie_title,rating,genre,directors,tomatometer_rating,audience_rating
Meteor,PG,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",Ronald Neame,5,12
Approaching the Unknown,PG,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Mark Elijah Rosenberg,43,14
Adventures of a Teenage Dragonslayer,PG,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy, Television",Andrew Lauer,60,16
Deal of the Century,PG,Comedy,William Friedkin,11,17
Caddyshack II,PG,Comedy,Allan Arkush,4,18
Amityville: The Demon,PG,Horror,Richard Fleischer,5,19
Dragonball Evolution,PG,"Action & Adventure, Science Fiction & Fantasy",James Wong,15,20
The Adventures of Rocky & Bullwinkle,PG,"Comedy, Kids & Family, Science Fiction & Fantasy",Des McAnuff,44,20
The Basket,PG,Drama,Rich Cowan,44,21
Attack of the 50 Foot Woman,PG,"Classics, Science Fiction & Fantasy",Nathan Juran,75,21
Doogal,G,"Animation, Kids & Family, Science Fiction & Fantasy","Frank Passingham, Dave Borthwick, Jean Duval, Jean-Philippe Duval",8,22
Cops And Robbersons,PG,Comedy,Michael Ritchie,14,22
Chatham (The Golden Boys),PG,"Comedy, Romance",Daniel Adams,28,22
That Darn Cat,PG,"Action & Adventure, Art House & International, Comedy, Kids & Family",Bob Spiers,13,23
Dudley Do-Right,PG,"Comedy, Kids & Family",Hugh Wilson,16,23
City Heat,PG,"Action & Adventure, Comedy, Drama, Mystery & Suspense",Richard Benjamin,19,23
388 Arletta Avenue,PG,"Art House & International, Drama, Mystery & Suspense",Randall Cole,56,23
Baby Geniuses,PG,"Comedy, Drama, Kids & Family",Bob Clark,2,24
The Devil and Max Devlin,PG,"Comedy, Kids & Family, Science Fiction & Fantasy",Steven Hilliard Stern,18,24
Drunkboat,PG,Drama,Bob Meyer,23,24
Daisy Miller,G,"Classics, Drama, Romance",Peter Bogdanovich,100,24
Crocodile Dundee in Los Angeles,PG,"Action & Adventure, Comedy",Simon Wincer,11,25
